,ClusterID,AverageTemperature,MaxTemperature,MinTemperature,TotalRainfall,officialnamesuburb,officialnamestate,lattitude,longtitude,clusterid
0,26394,26.620479479452055,31.9,23.1,2020.60000223,Boigu Island,Queensland,-9.265495092,142.216398,26394
1,27395,26.84372144109589,31.05,23.3,2061.80000459,Saibai Island,Queensland,-9.3960724,142.6899917,27395
2,27398,26.939731756164385,30.5,23.8,2015.00000965,Ugar Island,Queensland,-9.507456901,143.5452047,27398
3,28394,26.807191750684932,30.15,23.1,2090.70001212,Mabuiag Island,Queensland,-9.954847102,142.1815481,28394
4,28396,26.864423528767123,30.1,23.1,1936.00000176,Iama Island,Queensland,-9.901188914,142.7752078,28396
5,28397,26.836512479452054,30.1,23.5,1965.4000033,Poruma Island,Queensland,-10.05035397,143.0693573,28397
6,28399,26.8574657260274,30.0,22.95,1883.60000279,Waua Islet,Queensland,-9.948642684,144.0374468,28399
7,29394,26.70235162739726,30.6,22.8,1797.30000556,Badu Island,Queensland,-10.1163969,142.1453281,29394
8,29396,26.780422320547945,30.3,23.2,2098.80000819,Guijar Islet,Queensland,-10.25438783,142.8296283,29396
9,30293,26.927317298630136,29.8,23.25,900.10000451,Christmas Island,Other Territories,-10.48534709,105.6364879,30293
10,30393,26.82390976986301,30.65,22.75,1676.20000038,Arafura Sea,Queensland,-10.46957788,141.8031492,30393
11,30394,26.02307487123288,33.1105,19.4605,1622.7999994699999,Thursday Island,Queensland,-10.57882778,142.2197563,30394
12,30395,26.592625506849316,30.65,21.0,1731.00000353,Punsand,Queensland,-10.72356039,142.4477538,30395
13,31367,27.20269407671233,30.85,19.55,1291.90000407,Minjilang,Northern Territory,-11.14927116,132.559362,31367
14,31394,26.725181660273975,37.3565,18.456501,1789.80000271,Injinoo,Queensland,-11.0564033,142.2610061,31394
15,31395,26.195819901369862,35.3605,18.5105,1798.40000426,Somerset (Qld),Queensland,-10.83284733,142.5082393,31395
16,32362,26.840831638356164,35.536503,15.3365,1610.09999534,Milikapiti,Northern Territory,-11.41915532,130.6561989,32362
17,32395,25.63124281369863,36.8755,17.775501,1541.30000537,Jardine River,Queensland,-11.23900487,142.6178826,32395
18,33362,26.646512769863016,38.262497,13.8625,1688.5000048699999,Wurrumiyanga,Northern Territory,-11.75783245,130.6244874,33362
19,33370,26.865907558904112,32.05,17.5,1094.3999972899999,Warruwi,Northern Territory,-11.65786588,133.3782733,33370
